Package,LibPath,Version,Priority,Built
acepack,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.4.1,NA,3.5.1
addinexamples,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.1.0,NA,3.5.1
AGBfluxes,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.0.9001,NA,3.5.1
allodb,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.0.9005,NA,3.5.1
animation,C:/Users/LeporeM/Documents/R/R-3.5.2/library,2.6,NA,3.5.1
anytime,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.3.3,NA,3.5.2
assertthat,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.2.0,NA,3.5.0
available,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0.2,NA,3.5.1
babynames,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.3.0,NA,3.5.1
backports,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.1.3,NA,3.5.1
base,C:/Users/LeporeM/Documents/R/R-3.5.2/library,3.5.2,base,3.5.2
base64enc,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.1-3,NA,3.5.0
BBmisc,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.11,NA,3.5.1
bci,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.0.9001,NA,3.5.1
bciex,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.0.9000,NA,3.5.0
beeswarm,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.2.3,NA,3.5.0
bench,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0.1,NA,3.5.1
BH,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.69.0-1,NA,3.5.2
bindr,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.1.1,NA,3.5.0
bindrcpp,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.2.2,NA,3.5.0
BIOMASS,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.2,NA,3.5.1
bit,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.1-14,NA,3.5.0
bit64,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.9-7,NA,3.5.0
bitops,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0-6,NA,3.5.0
blob,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.1.1,NA,3.5.1
blogdown,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.10,NA,3.5.2
bmss,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.0.9000,NA,3.5.1
bookdown,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.9,NA,3.5.1
boot,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.3-20,recommended,3.5.2
brew,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0-6,NA,3.5.0
broom,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.5.1,NA,3.5.1
bukittimah,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.0.9000,NA,3.5.0
callr,C:/Users/LeporeM/Documents/R/R-3.5.2/library,3.1.1,NA,3.5.1
caTools,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.17.1.1,NA,3.5.1
cellranger,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.1.0,NA,3.5.0
checkmate,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.9.0,NA,3.5.2
class,C:/Users/LeporeM/Documents/R/R-3.5.2/library,7.3-15,recommended,3.5.2
cli,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0.1,NA,3.5.1
clipr,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.5.0,NA,3.5.2
clisymbols,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.2.0,NA,3.5.0
cloc,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.2.0,NA,3.5.0
cluster,C:/Users/LeporeM/Documents/R/R-3.5.2/library,2.0.7-1,recommended,3.5.2
clusterGeneration,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.3.4,NA,3.5.1
coda,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.19-2,NA,3.5.1
codetools,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.2-16,recommended,3.5.2
colorspace,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.3-2,NA,3.5.0
colourpicker,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0,NA,3.5.1
colsum,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.0.9000,NA,3.5.0
combinat,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0-8,NA,3.5.0
commonmark,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.7,NA,3.5.1
compiler,C:/Users/LeporeM/Documents/R/R-3.5.2/library,3.5.2,base,3.5.2
conflicted,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0.1,NA,3.5.1
corrplot,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.84,NA,3.5.0
covr,C:/Users/LeporeM/Documents/R/R-3.5.2/library,3.2.1,NA,3.5.1
crancache,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.0.9000,NA,3.5.1
cranlike,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0.2,NA,3.5.1
crayon,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.3.4,NA,3.5.1
crosstalk,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0.0,NA,3.5.0
csvy,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.3.0,NA,3.5.1
ctfs,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.0.9001,NA,3.5.1
curl,C:/Users/LeporeM/Documents/R/R-3.5.2/library,3.3,NA,3.5.2
cyclocomp,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.1.0,NA,3.5.0
data.table,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.11.8,NA,3.5.1
datapasta,C:/Users/LeporeM/Documents/R/R-3.5.2/library,3.0.0,NA,3.5.1
datapkg,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.1.0,NA,3.5.0
datasets,C:/Users/LeporeM/Documents/R/R-3.5.2/library,3.5.2,base,3.5.2
date,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.2-38,NA,3.5.0
DBI,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0.0,NA,3.5.0
debugme,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.1.0,NA,3.5.0
demo,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.0.9000,NA,3.5.1
DependenciesGraphs,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.3,NA,3.5.0
desc,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.2.0,NA,3.5.1
deSolve,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.21,NA,3.5.0
devtools,C:/Users/LeporeM/Documents/R/R-3.5.2/library,2.0.1,NA,3.5.1
dichromat,C:/Users/LeporeM/Documents/R/R-3.5.2/library,2.0-0,NA,3.5.0
digest,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.6.18,NA,3.5.1
doParallel,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0.14,NA,3.5.1
downloader,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.4,NA,3.5.1
dplyr,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.7.8,NA,3.5.1
drake,C:/Users/LeporeM/Documents/R/R-3.5.2/library,6.2.1,NA,3.5.1
DT,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.5,NA,3.5.1
enc,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.2.0,NA,3.5.0
evaluate,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.12,NA,3.5.1
expm,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.999-3,NA,3.5.1
fansi,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.4.0,NA,3.5.1
FastField,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.0.9000,NA,3.5.0
fastmatch,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.1-0,NA,3.5.0
feather,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.3.2,NA,3.5.2
fgeo,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0.0,NA,3.5.2
fgeo.analyze,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0.0,NA,3.5.2
fgeo.biomass,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.0.9001,NA,3.5.1
fgeo.build,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.0.9000,NA,3.5.1
fgeo.data,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.0.9005,NA,3.5.1
fgeo.demography,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.0.9103,NA,3.5.1
fgeo.fastfield,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.0.9001,NA,3.5.0
fgeo.install,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.0.9000,NA,3.5.2
fgeo.krig,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.0.9007,NA,3.5.2
fgeo.misc,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.0.9001,NA,3.5.2
fgeo.plot,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0.0.9000,NA,3.5.2
fgeo.template,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.0.9000,NA,3.5.2
fgeo.tool,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0.0,NA,3.5.2
fgeo.x,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0.0,NA,3.5.2
filenamer,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.2.3,NA,3.5.1
flexdashboard,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.5.1.1,NA,3.5.0
forcats,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.3.0,NA,3.5.0
foreach,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.4.4,NA,3.5.1
foreign,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.8-71,recommended,3.5.2
formatR,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.5,NA,3.5.1
formattable,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.2.0.1,NA,3.5.0
Formula,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.2-3,NA,3.5.0
fs,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.2.6,NA,3.5.1
fst,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.8.10,NA,3.5.1
functionMap,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0.0,NA,3.5.0
future,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.10.0,NA,3.5.1
gapminder,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.3.0,NA,3.5.1
generics,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.2,NA,3.5.2
geoR,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.7-5.2.1,NA,3.5.1
ggbeeswarm,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.6.0,NA,3.5.0
ggExtra,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.8,NA,3.5.1
ggplot2,C:/Users/LeporeM/Documents/R/R-3.5.2/library,3.1.0,NA,3.5.1
ggrepel,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.8.0,NA,3.5.1
ggstance,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.3.1,NA,3.5.1
gh,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0.1,NA,3.5.1
gistfo,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.1,NA,3.5.1
gistr,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.4.2,NA,3.5.1
git2r,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.24.0,NA,3.5.2
globals,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.12.4,NA,3.5.1
glue,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.3.0,NA,3.5.1
gmailr,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.7.1,NA,3.5.1
goodpractice,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0.2.9000,NA,3.5.0
googlesheets,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.3.0,NA,3.5.1
graphics,C:/Users/LeporeM/Documents/R/R-3.5.2/library,3.5.2,base,3.5.2
grDevices,C:/Users/LeporeM/Documents/R/R-3.5.2/library,3.5.2,base,3.5.2
grid,C:/Users/LeporeM/Documents/R/R-3.5.2/library,3.5.2,base,3.5.2
gridExtra,C:/Users/LeporeM/Documents/R/R-3.5.2/library,2.3,NA,3.5.0
gtable,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.2.0,NA,3.5.0
handy,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.0.9000,NA,3.5.1
haven,C:/Users/LeporeM/Documents/R/R-3.5.2/library,2.0.0,NA,3.5.1
here,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.1,NA,3.5.1
hexbin,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.27.2,NA,3.5.0
highlight,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.4.7.2,NA,3.5.0
highr,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.7,NA,3.5.0
Hmisc,C:/Users/LeporeM/Documents/R/R-3.5.2/library,4.1-1,NA,3.5.1
hms,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.4.2,NA,3.5.0
hrv,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.0.9000,NA,3.5.1
htmlTable,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.13.1,NA,3.5.2
htmltools,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.3.6,NA,3.5.0
htmlwidgets,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.3,NA,3.5.1
httpuv,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.4.5.1,NA,3.5.1
httr,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.4.0,NA,3.5.2
hunspell,C:/Users/LeporeM/Documents/R/R-3.5.2/library,3.0,NA,3.5.1
icon,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.1.0,NA,3.5.1
ids,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0.1,NA,3.5.1
igraph,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.2.2,NA,3.5.1
ini,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.3.1,NA,3.5.0
installr,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.21.0,NA,3.5.1
ISOcodes,C:/Users/LeporeM/Documents/R/R-3.5.2/library,2018.06.29,NA,3.5.0
iterators,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0.10,NA,3.5.1
jadd,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.0.9000,NA,3.5.1
janeaustenr,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.1.5,NA,3.5.0
janitor,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.1.1,NA,3.5.1
jsonlite,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.6,NA,3.5.1
kableExtra,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.9.0,NA,3.5.1
KernSmooth,C:/Users/LeporeM/Documents/R/R-3.5.2/library,2.23-15,recommended,3.5.2
knitr,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.21,NA,3.5.1
labeling,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.3,NA,3.5.0
Lahman,C:/Users/LeporeM/Documents/R/R-3.5.2/library,6.0-0,NA,3.5.2
later,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.7.5,NA,3.5.1
lattice,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.20-38,recommended,3.5.2
latticeExtra,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.6-28,NA,3.5.1
lazyeval,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.2.1,NA,3.5.0
leaflet,C:/Users/LeporeM/Documents/R/R-3.5.2/library,2.0.2,NA,3.5.1
learnr,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.9.2.1,NA,3.5.1
lintr,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0.3,NA,3.5.1
listenv,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.7.0,NA,3.5.1
lme4,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.1-19,NA,3.5.1
locfit,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.5-9.1,NA,3.5.1
lubridate,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.7.4,NA,3.5.1
luquillo,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.0.9000,NA,3.5.1
lvplot,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.2.0,NA,3.5.0
magick,C:/Users/LeporeM/Documents/R/R-3.5.2/library,2.0,NA,3.5.1
magrittr,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.5,NA,3.5.1
maps,C:/Users/LeporeM/Documents/R/R-3.5.2/library,3.3.0,NA,3.5.1
markdown,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.9,NA,3.5.1
MASS,C:/Users/LeporeM/Documents/R/R-3.5.2/library,7.3-51.1,recommended,3.5.2
Matrix,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.2-15,recommended,3.5.2
MatrixModels,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.4-1,NA,3.5.0
mcmc,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.9-5,NA,3.5.0
MCMCpack,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.4-4,NA,3.5.1
mcr,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.2.1,NA,3.5.1
measurements,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.3.0,NA,3.5.1
